P27213_101_S53_L002	popA
P27213_102_S54_L002	popA
P27213_103_S55_L002	popA
P27213_104_S56_L002	popA
P27213_105_S57_L002	popA
P27213_106_S58_L002	popA
P27213_107_S59_L002	popA
P27213_108_S60_L002	popA
P27213_109_S61_L002	popA
P27213_110_S62_L002	popA
P27213_111_S63_L002	popB
P27213_112_S64_L002	popB
P27213_113_S65_L002	popB
P27213_114_S66_L002	popB
P27213_115_S67_L002	popB
P27213_116_S68_L002	popB
P27213_117_S69_L002	popB
P27213_118_S70_L002	popB
P27213_119_S71_L002	popB
P27213_120_S72_L002	popB
P27213_121_S73_L002	popC
P27213_122_S74_L002	popC
P27213_123_S75_L002	popC
P27213_124_S76_L002	popC
P27213_125_S77_L002	popC
P27213_126_S78_L002	popC
P27213_127_S79_L002	popC
P27213_128_S80_L002	popC
P27213_129_S81_L002	popC
P27213_130_S82_L002	popC
